exclude,Name,Code,Theme,URL,Source,freq,indic_et,nace_r2,unit,s_adj,tra_cov,aircraft,indic_bt,geo,nrg_bal,stk_flow,siec,partner,nrg_bal,crudeoil,sex,age,resid,icd10,indic_ur,,
,Supply and transformation of oil and petroleum products,nrg_cb_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_oilm,Eurostat,,,,,,,,,EA20,,,,,GID_CAL,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_cb_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20nrg_bal=GID_CAL,
,Crude oil imports by field of production,nrg_ti_coifpm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ti_coifpm,Eurostat,,,,,,,,,EA20,,,,,,total,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ti_coifpm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20crudeoil=total,
,Imports of oil and petroleum products by partner country,nrg_ti_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ti_oilm,Eurostat,,,,,,,,,EA20,,,4000&4100&4200,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_ti_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20partner=total,note need to add siec
,Exports of oil and petroleum products by partner country,nrg_te_oilm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_te_oilm,Eurostat,,,,,,,,,EA20,,,4000&4100&4200,total,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_te_oilm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20partner=total,note need to add siec
,Cooling and heating degree days by country,nrg_chdd_m,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_chdd_m,Eurostat,,,,,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_chdd_m?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20,
x,,nrg_ind_343m,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_ind_343m,Eurostat,,,,,,,,,EA20,,,,,,,,,,,,,
x,,nrg_jodi,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_jodi,Eurostat,,,,,,,,,EA20,,,,,,,,,,,,,
x,,nrg_cb_cosm,Environment and energy,https://ec.europa.eu/eurostat/databrowser/product/page/nrg_cb_cosm,Eurostat,,,,,,,,,EA20,,,,,,,,,,,,,
,Unemployment,une_rt_m,Population and social conditions,https://ec.europa.eu/eurostat/databrowser/product/page/une_rt_m,Eurostat,,,,,NSA,,,,EA20,,,,,,,total,total,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/une_rt_m?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20&s_adj=NSA&sex=total&age=total,
x,,hlth_cd_mro,Population and social conditions,https://ec.europa.eu/eurostat/databrowser/product/page/hlth_cd_mro,Eurostat,,,,,,,,,EA20,,,,,,,total,total,total_in,total (there is every disease tho) ,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/hlth_cd_mro?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20&s_adj=NSA&sex=total&age=total&resid=total_in&indic_ur=total,
x,,apro_ec_poulm,"Agriculture, forestry and fisheries",https://ec.europa.eu/eurostat/databrowser/product/page/apro_ec_poulm,Eurostat,,,,,,,,,EA20,,,,,,,,,,,,"egg data - not aggregated, exclude for now",
,Slaughtering in slaughterhouses,apro_mt_pwgtm,"Agriculture, forestry and fisheries",https://ec.europa.eu/eurostat/databrowser/product/page/apro_mt_pwgtm,Eurostat,,,,ths_t,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/apro_mt_pwgtm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20unit=ths_t,
,Cows'milk collection and products obtained,apro_mk_colm,"Agriculture, forestry and fisheries",https://ec.europa.eu/eurostat/databrowser/product/page/apro_mk_colm,Eurostat,,,,ths_t,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/apro_mk_colm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20unit=ths_t,
,Meat production and foreign trade,apro_mt_pheadm,"Agriculture, forestry and fisheries",https://ec.europa.eu/eurostat/databrowser/product/page/apro_mt_pheadm,Eurostat,,,,ths_t,,,,,EA20,,,,,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/apro_mt_pheadm?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20unit=ths_t,
,Euro area trade by SITC product group,ext_st_easitc,International Trade,,Eurostat,,trd_val,,,,,,,EA20,,IMP&EXP,,TOTAL&US,,,,,,,,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/ext_st_easitc?lang=EN&freq=M&sinceTimePeriod=2000&geo=EA20nace_r2=,note:need to add partner and stk_flow
